 title="zbzh"
 variables ="r","z","T(K)"
* zone t= "chamber",i= 25 , j= 49 , f= point
 25  49 
    0.0242    0.1342   2445.34
    0.0254    0.1342   2445.89
    0.0261    0.1342   2446.24
    0.0269    0.1342   2446.58
    0.0276    0.1342   2446.92
    0.0286    0.1342   2447.38
    0.0299    0.1342   2447.94
    0.0000    0.1353   2437.98
    0.0007    0.1353   2437.98
    0.0020    0.1353   2438.03
    0.0033    0.1353   2438.13
    0.0047    0.1353   2438.27
    0.0060    0.1353   2438.46
    0.0073    0.1353   2438.70
    0.0086    0.1353   2438.97
    0.0097    0.1353   2439.24
    0.0109    0.1353   2439.56
    0.0121    0.1353   2439.90
    0.0133    0.1353   2440.27
    0.0144    0.1353   2440.66
    0.0158    0.1353   2441.17
    0.0175    0.1353   2441.82
    0.0192    0.1353   2442.50
    0.0208    0.1353   2443.22
    0.0225    0.1353   2443.96
    0.0242    0.1353   2444.72
    0.0254    0.1353   2445.27
    0.0261    0.1353   2445.62
    0.0269    0.1353   2445.96
    0.0276    0.1353   2446.31
    0.0286    0.1353   2446.77
    0.0299    0.1353   2447.33
    0.0000    0.1364   2437.20
    0.0007    0.1364   2437.20
    0.0020    0.1364   2437.25
    0.0033    0.1364   2437.35
    0.0047    0.1364   2437.50
    0.0060    0.1364   2437.69
    0.0073    0.1364   2437.94
    0.0086    0.1364   2438.21
    0.0097    0.1364   2438.50
    0.0109    0.1364   2438.81
    0.0121    0.1364   2439.16
    0.0133    0.1364   2439.54
    0.0144    0.1364   2439.95
    0.0158    0.1364   2440.47
    0.0175    0.1364   2441.13
    0.0192    0.1364   2441.82
    0.0208    0.1364   2442.55
    0.0225    0.1364   2443.30
    0.0242    0.1364   2444.07
    0.0254    0.1364   2444.63
    0.0261    0.1364   2444.98
    0.0269    0.1364   2445.33
    0.0276    0.1364   2445.68
    0.0286    0.1364   2446.14
    0.0299    0.1364   2446.71
    0.0000    0.1376   2436.34
    0.0007    0.1376   2436.34
    0.0020    0.1376   2436.39
    0.0033    0.1376   2436.50
    0.0047    0.1376   2436.65
